"property","building_id","owner_acquisition_date","street1","city","zip","lastname","firstname","email"
"0063","0005","2022-08-08","15 AVENUE DU CHATEAU","LYON","69003","GRATECO","YVA","1135947@gmail.com"
"0006","0023","2022-08-06","2-4 ALLEE DE LA CHENEVIERE","POITIERS","86000","BELLICAU","JEAN-NOE","1725427@gmail.com"
"0020","0023","2022-08-06","2-4 ALLEE DE LA CHENEVIERE","POITIERS","86000","BELLICAU","JEAN-NOE","1725427@gmail.com"
"0548","0198","2022-08-05","79/85 AVENUE MARECHAL JUIN","CANNES","06400","GUELTO","NATHALI","1281739@gmail.com"
"0042","0402","2022-08-05","1-11  AVENUE DE LA FRATERNITE","POITIERS","86000","DUPI","JEAN-CLAUDE OU MIREILL","1721527@gmail.com"
"1014","0553","2022-08-05",NULL,"BREST","29200","MORI","Elodi","2169518@gmail.com"
"1001","0553","2022-08-05",NULL,"BREST","29200","MORI","Elodi","2169518@gmail.com"
"0113","0103","2022-08-05","70 AVENUE LEON BLUM","COLOMBELLES","14460","ALDROVAND","Raphaë","118381@gmail.com"
"0064","0103","2022-08-05","70 AVENUE LEON BLUM","COLOMBELLES","14460","ALDROVAND","Raphaë","118381@gmail.com"
"0606","0402","2022-08-05","1-11  AVENUE DE LA FRATERNITE","POITIERS","86000","DUPI","JEAN-CLAUDE OU MIREILL","1721527@gmail.com"

